competitor_count,avg_similarity,opportunity_count,risk_count,missing_feature_count,target_score
12,0.537,2,4,2,62.58
17,0.83,4,2,1,63.25
12,0.368,0,10,0,26.8
2,0.223,8,2,1,100.0
16,0.615,10,0,0,100.0
18,0.598,10,7,3,87.05
5,0.252,8,10,4,99.7
9,0.593,7,7,3,87.17
20,0.135,9,5,6,100.0
9,0.574,9,8,10,100.0
20,0.644,2,4,7,53.9
10,0.37,4,5,8,90.75
8,0.911,9,1,5,100.0
16,0.157,8,0,8,100.0
3,0.272,10,6,4,100.0
10,0.345,10,4,2,100.0
19,0.57,7,10,10,69.75
1,0.666,3,1,8,100.0
7,0.715,2,8,0,48.12
12,0.598,2,0,4,81.05
10,0.243,0,5,9,71.92
13,0.841,10,0,6,100.0
7,0.696,6,5,10,100.0
17,0.615,6,7,5,68.62
4,0.711,3,7,1,66.22
3,0.654,2,7,0,61.65
1,0.458,6,8,0,90.55
17,0.749,9,4,7,99.28
18,0.397,3,1,2,72.08
17,0.893,10,3,3,97.67
13,0.812,7,5,4,83.7
13,0.217,8,8,9,100.0
11,0.776,5,10,10,68.6
0,0.974,1,2,10,93.65
11,0.504,6,7,8,89.4
20,0.47,6,7,9,74.25
19,0.178,8,7,6,89.55
5,0.573,7,10,9,95.67
18,0.685,3,0,4,72.88
10,0.599,10,8,1,95.03
9,0.912,8,6,10,100.0
10,0.495,8,0,5,100.0
11,0.955,2,10,4,34.12
5,0.336,6,4,4,100.0
16,0.599,3,5,9,69.03
1,0.588,5,7,7,99.3
0,0.571,7,1,1,100.0
16,0.819,2,5,2,43.53
3,0.772,10,9,2,100.0
1,0.811,1,4,7,81.72
5,0.213,3,0,8,100.0
10,0.93,7,5,7,92.75
18,0.302,5,4,7,84.45
5,0.443,1,4,3,74.92
12,0.841,5,7,6,68.97
9,0.129,4,4,8,100.0
9,0.756,10,0,10,100.0
9,0.189,8,4,8,100.0
10,0.443,5,6,0,74.92
16,0.959,9,8,0,66.03
7,0.618,9,9,6,100.0
13,0.49,8,8,10,97.75
17,0.123,6,2,5,100.0
10,0.784,5,9,2,58.4
3,0.351,9,3,6,100.0
11,0.649,0,5,2,45.77
15,0.562,10,7,1,89.95
20,0.861,4,8,1,32.48
20,0.248,4,9,3,47.8
7,0.449,1,1,7,90.78
18,0.691,2,2,3,56.73
12,0.677,6,5,3,81.08
12,0.83,10,3,7,100.0
18,0.77,6,2,3,78.75
6,0.543,6,7,1,84.42
14,0.856,1,3,4,52.6
10,0.945,9,7,9,100.0
19,0.84,0,2,6,45.0
20,0.894,7,8,4,55.65
16,0.362,3,1,5,82.95
11,0.339,10,2,4,100.0
20,0.339,4,2,6,79.53
11,0.838,4,6,5,67.05
14,0.273,9,2,0,100.0
18,0.831,0,10,2,7.23
5,0.316,3,4,7,98.1
9,0.922,4,4,1,68.95
1,0.924,0,6,3,56.9
14,0.432,4,5,3,71.2
18,0.73,8,1,7,100.0
19,0.104,9,5,3,99.4
16,0.426,10,3,8,100.0
9,0.206,7,0,3,100.0
15,0.451,9,6,1,90.72
2,0.163,0,4,8,91.92
0,0.812,2,5,7,85.7
9,0.585,0,5,0,47.38
15,0.78,8,3,7,100.0
18,0.948,5,8,8,54.3
6,0.109,4,5,6,100.0
20,0.827,1,4,1,31.33
5,0.444,4,3,5,100.0
8,0.483,1,10,10,57.92
1,0.258,10,8,6,100.0
2,0.822,2,1,0,83.45
4,0.399,7,1,3,100.0
14,0.591,4,3,9,87.22
12,0.77,5,7,5,68.75
13,0.178,0,6,3,51.55
18,0.535,3,5,5,58.62
1,0.358,5,7,3,97.05
7,0.424,7,7,4,97.4
14,0.26,4,0,0,89.5
10,0.522,5,8,0,64.95
16,0.976,8,0,3,97.6
15,0.462,4,9,1,48.45
17,0.222,2,4,7,70.45
6,0.675,9,2,0,100.0
0,0.466,4,0,7,100.0
0,0.866,0,0,3,84.35
4,0.803,5,0,2,100.0
13,0.98,7,8,1,61.5
9,0.813,0,1,7,71.67
20,0.171,9,3,3,100.0
6,0.584,5,10,5,73.4
18,0.733,1,7,6,35.67
2,0.631,7,7,7,100.0
2,0.653,6,7,4,95.67
18,0.654,2,8,1,29.65
4,0.245,2,2,5,99.88
17,0.828,9,8,1,69.3
20,0.501,1,0,6,65.47
2,0.218,4,5,0,94.55
13,0.559,3,6,9,72.03
18,0.925,10,7,2,76.88
10,0.683,8,7,1,84.92
11,0.817,10,10,8,93.58
3,0.56,1,5,4,74.0
9,0.474,4,10,7,68.15
6,0.164,5,0,4,100.0
0,0.714,7,0,8,100.0
20,0.842,6,0,5,84.95
11,0.696,5,10,10,70.6
13,0.335,8,9,0,77.62
12,0.337,7,9,7,87.58
6,0.215,8,9,2,98.62
2,0.567,8,4,5,100.0
7,0.248,8,7,10,100.0
8,0.639,4,6,9,86.03
3,0.791,7,6,6,100.0
3,0.154,7,1,3,100.0
8,0.622,6,0,6,100.0
11,0.971,3,2,4,71.72
9,0.437,9,3,0,100.0
4,0.503,1,10,2,49.42
18,0.944,2,1,4,56.4
6,0.849,0,7,8,54.78
5,0.285,6,9,2,86.88
14,0.261,2,7,4,57.47
16,0.129,8,0,0,100.0
20,0.644,4,1,2,67.9
13,0.294,2,8,0,46.65
19,0.397,3,10,3,36.08
12,0.344,3,6,4,69.4
0,0.892,7,4,8,100.0
2,0.378,8,10,8,100.0
13,0.445,8,6,1,88.88
14,0.927,2,5,6,52.83
3,0.132,2,3,8,100.0
3,0.216,3,0,1,100.0
0,0.911,2,10,2,53.22
0,0.952,8,1,9,100.0
5,0.191,5,8,9,100.0
10,1.0,6,2,2,87.0
3,0.193,5,6,5,100.0
12,0.667,7,6,4,85.33
2,0.357,4,8,3,85.08
1,0.826,7,7,10,100.0
17,0.165,9,3,8,100.0
14,0.325,0,1,8,75.88
18,0.738,4,3,6,69.55
8,0.739,6,0,6,100.0
8,0.548,1,0,5,86.3
11,0.742,5,10,2,53.45
20,0.923,2,9,6,24.92
17,0.126,8,7,5,92.85
19,0.393,5,2,3,80.17
11,0.592,4,4,6,83.2
5,0.429,10,6,1,100.0
6,0.28,1,8,10,75.0
11,0.909,3,2,4,73.28
18,0.562,5,8,9,65.95
6,0.846,8,7,9,100.0
20,0.944,3,6,1,32.4
5,0.485,6,2,3,100.0
12,0.431,1,5,5,61.22
16,0.92,7,6,4,71.0
17,0.901,6,3,5,77.47
4,0.622,10,8,9,100.0
13,0.727,10,2,1,100.0
9,0.754,7,6,8,97.15
19,0.95,7,5,3,66.25
6,0.421,10,6,0,100.0
12,0.432,7,0,5,100.0
12,0.878,10,9,8,94.05
0,0.685,6,4,1,100.0
9,0.437,5,0,6,100.0
4,0.941,2,4,3,70.47
5,0.185,9,10,10,100.0
17,0.183,8,8,7,91.42
11,0.771,1,4,0,48.72
20,0.734,3,1,9,73.65
3,0.133,2,1,8,100.0
20,0.385,10,3,5,100.0
19,0.658,0,2,4,45.55
6,0.816,6,0,4,100.0
17,0.279,4,9,6,59.02
19,0.87,4,10,0,24.25
19,0.351,3,5,3,57.23
9,0.654,6,7,8,89.65
20,0.579,2,7,7,43.52
5,0.311,6,7,10,100.0
13,0.208,1,6,7,64.8
3,0.721,2,10,10,67.97
15,0.248,3,0,9,99.8
1,0.199,3,5,9,100.0
0,0.737,0,5,4,69.58
1,0.167,10,0,3,100.0
11,0.268,4,3,7,97.3
0,0.641,3,10,1,63.97
12,0.989,2,0,9,81.28
9,0.353,2,5,7,79.17
7,0.723,10,2,0,100.0
20,0.609,6,4,7,78.78
11,0.504,5,7,3,73.4
17,0.262,5,0,0,89.45
2,0.302,7,5,8,100.0
11,0.296,7,6,6,100.0
15,0.591,1,10,6,33.23
17,0.418,10,7,6,99.55
11,0.893,3,8,9,59.67
10,0.179,5,8,2,77.53
18,0.616,5,9,6,54.6
0,0.131,1,2,5,100.0
15,0.431,9,8,8,97.22
19,0.768,8,8,10,78.8
10,0.463,9,10,8,98.42
20,0.493,0,3,5,45.67
3,0.688,7,0,9,100.0
17,0.476,3,10,3,38.1
1,0.41,4,5,7,100.0
8,0.235,9,10,8,100.0
10,0.856,5,0,2,92.6
3,0.563,6,9,6,91.92
7,0.9,10,8,4,99.5
19,0.496,7,1,2,91.6
6,0.184,10,10,6,100.0
15,0.557,0,4,0,40.08
9,0.533,2,1,3,82.67
17,0.401,5,8,5,63.98
13,0.524,1,1,8,78.9
4,0.218,1,4,7,90.55
4,0.289,8,8,0,100.0
10,0.431,8,9,10,100.0
4,0.364,6,9,1,84.9
14,0.294,0,7,6,48.65
2,0.402,8,9,2,100.0
9,0.473,3,0,6,100.0
6,0.15,0,6,5,70.25
9,0.771,6,7,10,90.72
17,0.241,6,3,7,97.97
8,0.603,2,10,7,54.92
13,0.44,8,9,0,75.0
9,0.993,1,0,3,69.17
15,0.651,10,8,7,95.72
10,0.792,5,5,9,88.2
14,0.161,3,10,0,45.97
13,0.529,6,2,3,94.78
3,0.313,2,3,7,100.0
12,0.427,8,2,4,100.0
13,0.627,0,2,1,52.33
15,0.978,3,10,0,23.55
4,0.546,8,1,10,100.0
10,0.513,1,8,1,43.17
16,0.884,0,1,10,61.9
2,0.353,8,10,9,100.0
19,0.835,10,7,8,89.12
9,0.5,2,1,3,83.5
4,0.437,2,2,4,93.08
20,0.469,3,2,6,70.28
20,0.159,5,8,2,58.02
7,0.178,0,7,6,65.55
13,0.191,0,8,10,57.22
4,0.325,10,4,4,100.0
12,0.658,7,6,2,81.55
9,0.93,3,4,8,76.75
16,0.629,2,9,0,28.27
17,0.788,2,1,1,56.3
15,0.134,7,1,1,100.0
4,0.202,2,3,4,94.95
18,0.265,9,10,10,91.38
3,0.239,4,8,1,82.03
12,0.53,9,3,4,100.0
7,0.563,2,1,0,79.92
16,0.317,4,4,6,80.08
2,0.755,5,1,4,100.0
5,0.101,2,0,10,100.0
17,0.181,3,2,1,73.47
8,0.181,8,5,9,100.0
0,0.821,0,5,4,67.47
1,0.761,1,2,4,84.97
14,0.801,0,0,5,61.97
19,0.186,7,7,9,89.35
10,0.461,6,5,10,100.0
6,0.502,8,7,6,100.0
5,0.279,0,2,0,75.03
17,0.173,5,0,7,100.0
7,0.545,8,10,7,94.38
6,0.834,4,2,9,100.0
17,0.85,5,10,2,38.75
17,0.746,1,0,5,63.35
12,0.776,6,2,4,92.6
17,0.369,4,3,6,80.78
19,0.841,5,0,3,76.97
9,0.429,5,1,9,100.0
17,0.284,10,8,2,90.9
10,0.307,4,6,3,78.33
20,0.772,9,2,8,100.0
6,0.589,5,10,5,73.28
12,0.947,5,9,3,52.33
11,0.161,2,9,5,59.97
17,0.666,5,0,4,87.35
0,0.111,10,9,3,100.0
17,0.46,2,7,10,58.5
8,0.753,1,4,1,57.17
14,0.939,9,9,6,78.53
4,0.886,1,5,2,59.85
4,0.418,10,0,3,100.0
12,0.449,8,10,4,80.78
13,0.785,3,8,8,56.38
8,0.517,2,2,0,75.08
16,0.654,0,4,2,39.65
17,0.153,2,7,5,56.17
16,0.1,2,4,7,75.5
2,0.517,0,1,10,99.08
8,0.983,2,8,10,59.42
5,0.81,9,1,10,100.0
17,0.253,10,1,7,100.0
8,0.862,6,1,6,100.0
20,0.794,9,7,2,70.15
18,0.929,6,5,2,60.77
10,0.138,2,7,9,78.55
13,0.106,1,9,5,51.35
2,0.626,9,7,4,100.0
15,0.306,2,8,5,52.35
2,0.266,0,7,8,77.35
18,0.808,6,10,10,59.8
2,0.658,1,8,4,61.55
1,0.175,7,6,3,100.0
12,0.442,10,6,4,100.0
2,0.682,4,2,4,100.0
14,0.762,1,2,3,56.95
6,0.214,1,9,6,64.65
19,0.925,0,8,3,12.88
19,0.604,5,4,5,70.9
7,0.623,9,7,0,96.42
11,0.671,2,1,2,73.22
9,0.363,9,1,4,100.0
10,0.642,7,6,7,95.95
14,0.918,8,4,1,83.05
18,0.501,9,6,7,95.47
19,0.262,8,2,6,100.0
9,0.997,10,7,7,100.0
6,0.132,3,2,9,100.0
1,0.943,10,1,6,100.0
2,0.769,5,7,5,88.78
20,0.855,6,2,3,72.62
7,0.969,8,9,2,77.78
20,0.49,6,2,2,79.75
7,0.429,7,1,6,100.0
7,0.774,5,9,7,74.65
19,0.482,10,8,1,79.95
0,0.463,5,5,8,100.0
19,0.619,4,3,3,64.53
20,0.909,2,10,5,19.27
4,0.374,5,6,0,88.65
17,0.201,4,2,10,96.97
17,0.58,6,4,10,91.5
11,0.406,5,9,3,67.85
6,0.53,8,5,1,100.0
5,0.79,1,7,5,58.25
12,0.233,6,1,2,100.0
18,0.188,0,0,0,59.3
2,0.855,10,10,4,100.0
19,0.547,4,0,1,74.33
6,0.276,8,6,4,100.0
5,0.555,6,8,1,82.12
11,0.281,6,4,10,100.0
11,0.825,7,4,1,85.38
0,0.424,10,10,5,100.0
1,0.81,1,2,0,75.75
16,0.243,8,4,10,100.0
17,0.501,6,8,4,65.47
17,0.687,5,2,2,74.83
1,0.314,7,3,4,100.0
2,0.441,10,6,3,100.0
20,0.519,3,8,2,37.02
9,0.851,8,5,0,88.72
15,0.168,5,6,7,85.8
11,0.778,8,4,7,100.0
13,0.909,2,10,8,39.27
12,0.921,5,6,1,60.97
7,0.584,2,10,1,45.4
14,0.813,3,3,4,65.67
12,0.813,9,0,2,100.0
4,0.955,0,1,3,70.12
17,0.866,2,4,9,58.35
11,0.665,4,7,7,71.38
3,0.582,7,7,3,99.45
20,0.546,7,4,5,82.35
7,0.286,3,1,9,100.0
0,0.375,10,0,10,100.0
14,0.562,10,2,9,100.0
0,0.584,3,3,6,100.0
2,0.828,10,2,6,100.0
6,0.126,7,1,4,100.0
4,0.69,8,5,5,100.0
11,0.225,0,5,5,62.38
19,0.984,3,3,6,55.4
3,0.831,2,0,1,87.22
15,0.766,2,3,2,54.85
11,0.918,2,9,8,47.05
19,0.98,3,2,7,61.5
1,0.523,1,10,6,62.92
1,0.168,9,7,0,100.0
3,0.866,1,7,6,62.35
20,0.679,4,8,8,51.02
5,0.252,9,10,4,100.0
11,0.448,1,2,3,70.8
6,0.917,2,4,10,81.08
7,0.234,6,4,9,100.0
14,0.294,3,4,7,80.65
0,0.984,3,0,8,100.0
6,0.419,2,4,9,91.53
17,0.864,4,2,9,78.4
13,0.364,1,10,10,50.9
0,0.27,1,9,1,65.25
3,0.52,6,2,6,100.0
13,0.919,8,5,0,79.03
9,0.454,1,1,0,72.65
18,0.415,1,9,0,23.62
2,0.162,8,9,3,100.0
4,0.338,6,2,0,100.0
7,0.472,8,7,10,100.0
13,0.83,2,4,8,65.25
7,0.887,3,9,8,61.83
1,0.693,8,5,4,100.0
6,0.708,9,9,2,92.3
5,0.34,3,8,4,75.5
5,0.846,8,1,7,100.0
0,0.79,10,4,2,100.0
11,0.196,4,1,9,100.0
5,0.349,5,2,0,100.0
19,0.531,3,1,8,78.72
8,0.951,10,0,3,100.0
4,0.958,5,0,4,100.0
11,0.714,1,9,1,32.15
0,0.411,8,0,7,100.0
15,0.242,3,4,1,67.95
19,0.568,4,8,5,49.8
16,0.224,7,3,7,100.0
14,0.497,6,5,1,77.58
7,0.2,3,9,2,67.0
5,0.926,1,1,6,80.85
12,0.639,2,1,0,68.03
4,0.854,10,10,9,100.0
0,0.83,4,9,9,85.25
16,0.308,8,9,5,82.3
10,0.764,9,6,8,100.0
10,0.546,7,2,1,100.0
2,0.86,8,5,7,100.0
9,0.682,0,8,1,34.95
17,0.909,10,5,10,100.0
15,0.937,3,1,6,72.58
9,0.83,0,3,10,69.25
6,0.33,6,7,9,100.0
1,0.101,8,6,8,100.0
10,0.662,0,8,2,35.45
6,0.522,0,2,9,84.95
4,0.613,9,5,9,100.0
8,0.676,3,5,3,71.1
17,0.84,4,9,1,35.0
20,0.597,5,7,5,57.08
9,0.583,7,1,9,100.0
4,0.888,9,9,8,100.0
2,0.723,3,2,2,91.92
20,0.353,0,0,9,69.17
15,0.831,1,0,4,63.23
7,0.128,7,0,4,100.0
14,0.221,5,8,10,84.47
6,0.187,8,7,2,100.0
9,0.353,6,3,7,100.0
16,0.747,5,6,2,59.33
20,0.398,9,1,9,100.0
17,0.697,9,9,1,68.58
7,0.114,9,8,6,100.0
2,0.466,5,3,9,100.0
14,0.187,2,2,3,77.33
8,0.258,5,2,5,100.0
8,0.968,7,5,6,93.8
9,0.583,10,1,8,100.0
4,0.303,5,9,0,78.42
5,0.588,7,8,8,100.0
12,0.264,2,6,7,71.4
3,0.644,8,6,1,100.0
4,0.18,2,0,6,100.0
7,0.897,3,7,7,67.58
8,0.757,0,4,9,67.08
19,0.198,4,9,4,53.05
3,0.974,3,8,5,65.65
3,0.862,5,10,3,68.45
15,0.505,5,6,8,79.38
6,0.883,10,5,5,100.0
11,0.513,10,0,6,100.0
8,0.541,10,1,2,100.0
15,0.758,8,3,9,100.0
6,0.44,8,7,5,100.0
17,0.238,7,6,5,88.05
9,0.62,9,7,4,100.0
20,0.369,9,2,0,96.78
15,0.12,5,1,9,100.0
8,0.11,4,7,10,97.25
18,0.558,6,2,3,84.05
2,0.869,1,1,0,76.28
15,0.587,0,4,2,43.33
12,0.887,9,7,4,87.83
13,0.538,7,9,3,72.55
12,0.308,3,4,6,82.3
4,0.872,1,7,6,60.2
10,0.655,2,5,5,65.62
12,0.4,9,0,9,100.0
10,0.254,5,9,4,75.65
17,0.473,4,5,1,60.17
19,0.71,5,10,6,46.25
7,0.861,10,7,3,100.0
13,0.104,8,0,2,100.0
7,0.446,4,1,5,100.0
16,0.455,2,7,9,58.62
18,0.731,9,3,10,100.0
6,0.934,7,3,10,100.0
19,0.174,4,3,1,71.65
12,0.506,10,3,8,100.0
0,0.511,9,5,8,100.0
4,0.581,10,10,6,100.0
14,0.892,3,6,0,43.7
1,0.45,6,5,7,100.0
18,0.679,5,1,1,75.03
14,0.869,9,3,3,98.28
14,0.592,9,7,0,83.2
17,0.826,0,5,2,29.35
20,0.321,4,1,10,91.97
1,0.249,2,4,10,100.0
16,0.792,0,2,5,50.2
0,0.703,8,8,9,100.0
18,0.519,5,8,0,49.02
11,0.481,10,1,2,100.0
20,0.25,10,5,6,100.0
0,0.385,5,9,8,100.0
20,0.46,2,7,5,42.5
15,0.861,5,8,3,52.48
17,0.966,10,0,7,100.0
8,0.82,9,7,0,89.5
18,0.627,1,8,0,22.33
16,0.386,0,8,0,26.35
19,0.394,8,2,6,100.0
11,0.138,3,3,1,82.55
16,0.781,6,6,5,70.47
20,0.877,8,1,3,88.08
5,0.288,1,4,8,88.8
0,0.763,1,7,9,76.92
16,0.18,9,10,1,79.5
4,0.23,5,4,1,100.0
20,0.473,0,2,9,58.17
2,0.219,7,7,2,100.0
5,0.534,2,3,4,84.65
15,0.163,2,9,10,61.92
17,0.365,3,6,8,66.88
11,0.21,5,10,7,76.75
19,0.933,6,7,2,50.67
12,0.266,7,8,10,99.35
9,0.72,2,0,6,88.0
12,0.185,8,9,5,93.38
2,0.906,4,0,1,99.35
5,0.797,8,7,1,92.08
5,0.275,8,6,8,100.0
6,0.639,8,9,2,88.03
16,0.998,5,10,8,49.05
11,0.266,1,2,0,69.35
6,0.943,6,1,7,100.0
10,0.542,5,5,4,84.45
2,0.214,0,9,1,56.65
15,0.739,1,3,1,47.52
3,0.543,4,2,2,100.0
8,0.429,7,8,2,87.28
3,0.27,0,6,2,67.25
12,0.125,0,9,9,54.88
17,0.541,4,3,0,64.47
1,0.69,8,2,5,100.0
8,0.1,6,3,4,100.0
12,0.273,10,4,8,100.0
14,0.388,1,4,7,66.3
15,0.254,9,3,1,100.0
20,0.811,4,4,1,49.72
14,0.775,3,5,8,66.62
6,0.506,0,4,3,65.35
13,0.829,1,0,4,67.28
17,0.319,6,1,10,100.0
5,0.628,4,5,8,94.3
16,0.841,3,7,7,50.98
4,0.337,2,0,8,100.0
6,0.108,0,1,2,85.3
14,0.98,6,6,4,67.5
1,0.71,7,9,9,100.0
14,0.65,9,7,7,95.75
3,0.41,5,9,2,81.75
7,0.953,3,6,9,74.17
13,0.229,5,10,3,64.28
18,0.167,9,3,4,100.0
19,0.163,9,8,4,87.92
20,0.461,8,2,0,88.47
15,0.535,5,8,2,58.62
0,0.437,6,9,2,93.08
15,0.2,9,3,4,100.0
3,0.368,4,9,4,80.8
12,0.961,8,6,7,89.97
2,0.413,6,10,3,87.67
6,0.665,8,5,0,99.38
11,0.44,0,1,2,67.0
11,0.82,0,8,9,43.5
16,0.271,10,3,5,100.0
13,0.966,6,10,4,53.85
4,0.92,2,8,6,61.0
0,0.409,3,1,3,100.0
8,0.73,9,8,5,97.75
7,0.417,3,4,6,89.58
3,0.516,2,5,10,93.1
6,0.926,2,2,8,84.85
12,0.427,4,2,10,100.0
19,0.988,7,4,9,81.3
2,0.612,4,1,6,100.0
12,0.262,1,9,9,57.45
18,0.76,6,6,8,73.0
10,0.682,6,5,10,98.95
17,0.549,2,10,0,24.27
4,0.621,10,4,7,100.0
16,0.876,4,4,1,56.1
14,0.829,9,0,1,100.0
18,0.422,3,7,3,49.45
16,0.746,8,1,10,100.0
10,0.997,3,2,8,81.08
4,0.19,7,1,1,100.0
12,0.401,6,7,4,81.97
7,0.455,6,0,7,100.0
11,0.655,7,6,3,85.62
11,0.763,2,2,1,64.92
17,0.285,9,9,0,76.88
3,0.248,1,9,9,75.8
2,0.262,2,8,9,87.45
0,0.579,3,0,1,100.0
10,0.762,7,6,3,84.95
2,0.919,8,5,5,100.0
6,0.286,0,5,3,66.85
16,0.707,0,6,8,42.33
13,0.312,5,9,10,80.2
13,0.424,4,7,1,61.4
13,0.438,0,6,0,39.05
7,0.989,4,9,0,49.27
1,0.445,7,9,9,100.0
1,0.229,2,9,5,78.28
13,0.268,3,5,4,73.3
18,0.208,6,2,9,100.0
2,0.95,10,10,4,100.0
9,0.653,6,5,7,95.67
11,0.427,6,6,4,87.33
4,0.696,6,6,4,94.6
4,0.671,4,10,10,79.22
11,0.524,9,3,9,100.0
15,0.314,10,1,5,100.0
4,0.848,0,3,6,70.8
3,0.673,5,2,10,100.0
10,0.538,5,5,5,86.55
5,0.194,9,2,3,100.0
5,0.666,10,10,0,93.35
2,0.512,6,1,6,100.0
12,0.991,1,5,4,45.23
19,0.734,7,2,6,89.65
0,0.537,4,7,0,82.58
5,0.591,1,8,9,67.22
19,0.685,6,2,6,84.88
4,0.231,3,1,7,100.0
20,0.739,5,3,10,79.53
3,0.963,5,4,6,95.92
19,0.374,9,5,7,100.0
16,0.349,2,6,2,51.27
5,0.241,7,4,1,100.0
8,0.42,7,5,8,100.0
16,0.104,8,9,7,91.4
2,0.743,1,6,10,79.42
17,0.541,4,9,7,54.48
14,0.465,7,9,3,72.38
2,0.107,7,0,2,100.0
9,0.238,3,4,10,98.05
16,0.47,3,2,8,82.25
9,0.766,7,2,8,100.0
2,0.35,6,6,5,100.0
0,0.276,9,9,10,100.0
0,0.801,4,8,9,89.97
5,0.917,10,0,5,100.0
19,0.556,9,2,8,100.0
2,0.797,8,1,10,100.0
4,0.821,9,2,8,100.0
13,0.531,5,4,1,76.72
16,0.308,5,6,2,70.3
3,0.729,10,5,7,100.0
15,0.93,10,8,9,92.75
18,0.698,9,8,0,68.55
1,0.606,3,9,9,82.85
8,0.696,7,4,8,100.0
13,0.972,5,6,2,59.7
3,0.643,1,9,0,47.92
0,0.672,1,4,6,85.2
10,0.149,10,7,5,100.0
19,0.97,6,4,1,59.75
3,0.329,8,4,10,100.0
7,0.795,3,4,2,72.12
16,0.65,7,0,10,100.0
3,0.955,0,7,7,56.12
1,0.957,9,9,4,100.0
7,0.374,8,5,2,100.0
12,0.977,2,1,1,61.58
8,0.266,10,8,6,100.0
19,0.154,8,7,3,84.15
8,0.612,2,4,0,64.7
3,0.4,1,9,0,54.0
7,0.349,8,1,7,100.0
18,0.188,2,6,6,59.3
7,0.315,3,9,7,74.12
14,0.712,9,10,3,74.2
1,0.918,2,6,5,73.05
6,0.505,6,4,6,100.0
16,0.912,8,4,8,93.2
18,0.391,10,9,7,92.22
15,0.52,2,4,6,65.0
11,0.462,10,0,8,100.0
18,0.439,9,9,6,83.03
19,0.254,2,1,6,75.65
1,0.523,0,0,9,100.0
7,0.686,4,7,10,84.85
