name,competition_density,novelty_score,market_growth,pain_severity,monetization_signal,description_quality,topic_diversity,votes,label
Outworx Docs,0.3948058485984802,0.5823,0.56,0.2,0.30000000000000004,0.55,0.5499999999999999,2,1
NeoSmith AI,0.42698580026626587,0.5539,0.44,0.2,0.30000000000000004,0.55,0.4,2,1
Numio,0.4083496630191803,0.5566,0.44,0.32,0.2,0.56,0.7,2,1
Marklet,0.33976417779922485,0.6448,0.44,0.2,0.2,0.56,0.5499999999999999,2,1
Taxhance,0.3726188540458679,0.6018,0.32,0.2,0.4,0.47,0.4,2,1
SmartStops,0.3729775846004486,0.6153,0.2,0.2,0.2,0.7,0.7,2,1
Shift Calendar & Paycheck,0.3287968039512634,0.6477,0.32,0.2,0.2,0.56,0.5499999999999999,2,1
LicenseFlow,0.3530239462852478,0.6232,0.56,0.2,0.4,0.41,0.5499999999999999,2,1
Stash or Trash,0.3439828157424927,0.6294,0.32,0.2,0.2,0.5,0.5499999999999999,2,1
Artifactly,0.3620501160621643,0.6069,0.56,0.2,0.30000000000000004,0.62,0.5499999999999999,1,1
OpenGard,0.36063283681869507,0.603,0.56,0.2,0.2,0.35,0.5499999999999999,1,1
Speech Smith,0.3175336420536041,0.6595,0.44,0.2,0.2,0.35,0.5499999999999999,1,1
AI Sticker Maker,0.4044242799282074,0.5837,0.2,0.2,0.2,0.47,0.25,1,1
LingoPop — NYT Connections in 195+ Lang,0.30103275179862976,0.6684,0.2,0.2,0.2,0.55,0.5499999999999999,1,1
Propelr,0.41695326566696167,0.5613,0.2,0.2,0.2,0.41,0.5499999999999999,1,1
PosterMaster,0.4100337624549866,0.5426,0.2,0.2,0.2,0.48,0.5499999999999999,1,1
Aria-Ease,0.40127915143966675,0.5716,0.32,0.2,0.2,0.56,0.7,1,1
Kontentpak,0.4096057415008545,0.5671,0.32,0.2,0.30000000000000004,0.62,0.4,1,1
Tough Talk,0.3264799118041992,0.6278,0.2,0.44,0.2,0.5,0.5499999999999999,1,1
FinishKit,0.43127331137657166,0.5487,0.32,0.2,0.2,0.76,0.4,1,1
DiSC Based Personality Assessment,0.398206889629364,0.5907,0.2,0.2,0.30000000000000004,0.62,0.4,1,1
MomentSurfer,0.5100778937339783,0.4674,0.44,0.2,0.2,0.06,0.5499999999999999,1,1
mem/do,0.3336242139339447,0.6366,0.44,0.2,0.2,0.56,0.5499999999999999,1,1
FindChineseName,0.2570512294769287,0.7214,0.32,0.2,0.30000000000000004,0.6100000000000001,0.5499999999999999,1,1
reppint,0.5700263977050781,0.3986,0.2,0.2,0.2,0.35,0.25,1,1
30 AI Prompts for Copywriters,0.5183948874473572,0.4499,0.2,0.32,0.30000000000000004,0.7,0.5499999999999999,1,1
Architect,0.5866376161575317,0.3837,0.44,0.2,0.2,0.35,0.7,1,1
Journy,0.34844914078712463,0.6283,0.2,0.2,0.2,0.47,0.5499999999999999,1,1
Skill Atlas,0.4048749804496765,0.5684,0.44,0.2,0.30000000000000004,0.62,0.5499999999999999,1,1
"It's mono, yo!",0.26689836382865906,0.7139,0.2,0.2,0.2,0.55,0.5499999999999999,1,1
Flame Tamer,0.2970297634601593,0.6629,0.2,0.32,0.2,0.56,0.5499999999999999,1,1
justClaw: The Zero-Setup openClaw Client,0.34613555669784546,0.5764,0.32,0.44,0.2,0.76,0.5499999999999999,1,1
Yuna AI ,0.4562515318393707,0.5083,0.32,0.2,0.2,0.62,0.5499999999999999,1,1
ApiTwitter,0.4019237160682678,0.5782,0.44,0.32,0.30000000000000004,0.7,0.5499999999999999,1,1
Montana Poker,0.31498926877975464,0.6406,0.2,0.32,0.2,0.56,0.4,1,1
PostClaw,0.5065683126449585,0.4629,0.2,0.2,0.2,0.47,0.4,1,1
Votaka,0.40911346673965454,0.5675,0.2,0.2,0.2,0.5,0.4,1,1
Decilo,0.4457032084465027,0.54,0.32,0.2,0.2,0.7,0.5499999999999999,1,1
Roundtable MCP,0.39386284351348877,0.577,0.32,0.2,0.2,0.35,0.5499999999999999,1,1
Focused Scopes — Property Ops Platform,0.334314227104187,0.6405,0.44,0.2,0.4,0.42,0.7,1,1
Snoutique,0.218523770570755,0.7675,0.2,0.32,0.30000000000000004,0.7,0.5499999999999999,1,1
Vinkius,0.4000600278377533,0.584,0.56,0.2,0.30000000000000004,0.35,0.5499999999999999,1,1
Polar Pounce: Solitaire Race,0.33156850934028625,0.6195,0.2,0.2,0.2,0.15,0.5499999999999999,1,1
Soundcase,0.2629440426826477,0.72,0.32,0.2,0.2,0.35,0.5499999999999999,1,1
Contractor Invoice Generator,0.4040599465370178,0.5364,0.32,0.2,0.4,0.56,0.5499999999999999,1,1
WikiTrademarks,0.37630534172058105,0.5901,0.2,0.2,0.2,0.62,0.5499999999999999,1,1
SFTPHub,0.2590649425983429,0.7106,0.44,0.2,0.4,0.26,0.5499999999999999,0,0
TravelPhotoMap,0.4027932286262512,0.5545,0.2,0.2,0.2,0.35,0.7,1,1
ShamVerse,0.4324522912502289,0.5551,0.32,0.2,0.2,0.15,0.5499999999999999,1,1
aeon - Background intelligence,0.4990987777709961,0.4697,0.44,0.2,0.2,0.5,0.5499999999999999,1,1
Morocco Desert Tours,0.2617728114128113,0.7051,0.2,0.2,0.2,0.15,0.4,1,1
CensorCam,0.3519664406776428,0.6126,0.2,0.2,0.2,0.36,0.7,1,1
Suno‑GPT‑Assist,0.44304466247558594,0.531,0.2,0.2,0.2,0.82,0.5499999999999999,1,1
Countdown Builder,0.3489215672016144,0.6269,0.32,0.2,0.2,0.47,0.5499999999999999,1,1
PlusB,0.5181733965873718,0.4605,0.44,0.2,0.2,0.3,0.5499999999999999,1,1
SubDupes,0.2744559049606323,0.7085,0.56,0.2,0.6000000000000001,0.62,0.5499999999999999,1,1
Kodus - Agent Readiness,0.5398462414741516,0.4281,0.32,0.2,0.2,0.7,0.5499999999999999,1,1
Claude Code to Figma,0.4054335951805115,0.5681,0.32,0.2,0.30000000000000004,0.35,0.5499999999999999,1,1
AdviceMe,0.26063913106918335,0.7067,0.32,0.32,0.2,0.5,0.5499999999999999,1,1
Cortiq ,0.4382774829864502,0.5433,0.56,0.2,0.30000000000000004,0.6799999999999999,0.5499999999999999,1,1
Status Healthy,0.4413776993751526,0.5077,0.32,0.2,0.2,0.41,0.5499999999999999,1,1
James,0.46797895431518555,0.5073,0.44,0.2,0.2,0.56,0.5499999999999999,1,1
​EIec,0.24173042178153992,0.7379,0.44,0.2,0.2,0.0,0.5499999999999999,1,1
GitHub Advanced Explorer,0.2925758361816406,0.6842,0.44,0.2,0.2,0.0,0.5499999999999999,1,1
Promptly,0.41479915380477905,0.5319,0.32,0.32,0.2,0.5,0.5499999999999999,1,1
xWall,0.4165225625038147,0.5641,0.32,0.2,0.2,0.41,0.7,1,1
OddJob — Small Tasks. Real Money.,0.386630654335022,0.5829,0.32,0.32,0.4,0.56,0.25,1,1
Vyarah,0.4036361277103424,0.5832,0.2,0.2,0.4,0.62,0.5499999999999999,1,1
The Ai between us,0.40935787558555603,0.5412,0.2,0.32,0.2,0.35,0.5499999999999999,1,1
SimplePDF Tools,0.4426577687263489,0.5083,0.44,0.2,0.2,0.7,0.5499999999999999,1,1
STEM Foundation,0.264778196811676,0.709,0.32,0.2,0.2,0.41,0.5499999999999999,1,1
UPI SMS Parser API,0.34496086835861206,0.619,0.44,0.2,0.2,0.6100000000000001,0.5499999999999999,1,1
Sophyworks,0.4092743396759033,0.5638,0.56,0.32,0.30000000000000004,0.35,0.5499999999999999,1,1
Dotoriflow,0.3540537357330322,0.6132,0.44,0.2,0.2,0.56,0.5499999999999999,1,1
SmallShip,0.38934388756752014,0.5968,0.32,0.2,0.30000000000000004,0.41,0.25,1,1
Trünk Moves,0.200679212808609,0.7754,0.2,0.2,0.30000000000000004,0.5,0.5499999999999999,0,0
TaskMind,0.4803449213504791,0.4811,0.44,0.32,0.30000000000000004,0.76,0.5499999999999999,0,0
SupWhisper,0.41069215536117554,0.5474,0.32,0.2,0.2,0.35,0.7,2,1
ExactShot,0.374080628156662,0.5978,0.32,0.2,0.2,0.3,0.5499999999999999,0,0
Trement IA,0.4793912470340729,0.4784,0.32,0.2,0.4,0.76,0.5499999999999999,0,0
Aurifan,0.39395028352737427,0.5908,0.32,0.2,0.2,0.7,0.5499999999999999,0,0
WishTrail,0.3935629427433014,0.5738,0.32,0.2,0.2,0.62,0.5499999999999999,0,0
ProposalCraft,0.468740850687027,0.4933,0.44,0.2,0.6000000000000001,0.76,0.5499999999999999,0,0
Courier Web | Capture & Connect,0.4941950738430023,0.4883,0.44,0.2,0.2,0.5,0.7,0,0
Utra Legal,0.25633499026298523,0.6977,0.44,0.2,0.30000000000000004,0.35,0.5499999999999999,0,0
MiXPo makes chores fun for kids!,0.33804720640182495,0.6338,0.2,0.2,0.2,0.56,0.5499999999999999,0,0
PixelBlur,0.42619696259498596,0.5404,0.2,0.2,0.30000000000000004,0.76,0.5499999999999999,0,0
PlanRelief,0.32477378845214844,0.6573,0.32,0.2,0.2,0.76,0.5499999999999999,0,0
SayIt-Voice Notes,0.4054117202758789,0.5685,0.32,0.2,0.2,0.5,0.5499999999999999,0,0
pplRead,0.3911530375480652,0.5924,0.44,0.2,0.30000000000000004,0.35,0.5499999999999999,0,0
Foopo — Discover Home Chefs,0.4132905602455139,0.5317,0.2,0.2,0.2,0.56,0.5499999999999999,0,0
MyReceipt,0.4038815498352051,0.5616,0.44,0.2,0.4,0.41,0.5499999999999999,0,0
Web Accessibility Co,0.40020817518234253,0.5683,0.32,0.2,0.2,0.55,0.5499999999999999,0,0
CommerceRank,0.41728585958480835,0.525,0.2,0.2,0.2,0.76,0.5499999999999999,0,0
AsyncFlow,0.38038986921310425,0.5971,0.56,0.32,0.30000000000000004,0.5,0.7,0,0
iSmartSync,0.370317280292511,0.5842,0.2,0.32,0.2,0.42,0.25,0,0
AetherInc,0.4573964476585388,0.5089,0.32,0.2,0.30000000000000004,0.35,0.5499999999999999,0,0
Axel,0.28924256563186646,0.7001,0.32,0.2,0.30000000000000004,0.62,0.5499999999999999,0,0
PIEDocs,0.38466158509254456,0.5829,0.44,0.2,0.2,0.56,0.5499999999999999,0,0
VibeLang,0.39253902435302734,0.5739,0.44,0.2,0.2,0.35,0.7,0,0
Lingoframe,0.38817963004112244,0.5576,0.32,0.2,0.2,0.35,0.5499999999999999,0,0
SocialRipple,0.3653147518634796,0.6132,0.32,0.32,0.30000000000000004,0.8799999999999999,0.5499999999999999,0,0
"BrainForce – Brain Training, Focus Boost",0.3976801335811615,0.5774,0.32,0.2,0.2,0.35,0.7,0,0
5UGC,0.40294235944747925,0.5784,0.32,0.2,0.2,0.76,0.5499999999999999,0,0
einzly,0.33591562509536743,0.6504,0.32,0.2,0.4,0.62,0.5499999999999999,0,0
Wishwell,0.2832668423652649,0.6698,0.32,0.2,0.2,0.15,0.5499999999999999,0,0
A11y – Smart Color Contrast Checker,0.2961689531803131,0.6845,0.2,0.44,0.2,0.76,0.7,0,0
WatchPick — Tinder for movies/shows,0.3029496967792511,0.6734,0.32,0.2,0.2,0.7,0.5499999999999999,0,0
twi5t,0.462790310382843,0.5176,0.32,0.2,0.30000000000000004,0.76,0.5499999999999999,0,0
LingTube,0.4104688763618469,0.5491,0.32,0.2,0.2,0.35,0.5499999999999999,0,0
Bot Hound,0.4252544045448303,0.5511,0.32,0.32,0.2,0.76,0.7,0,0
OwnInvoice by Grit Software,0.37078437209129333,0.6028,0.32,0.2,0.5,0.76,0.5499999999999999,0,0
Nuvio AI,0.5128601789474487,0.4645,0.44,0.2,0.2,0.62,0.5499999999999999,0,0
Astaeria,0.36957448720932007,0.6048,0.32,0.2,0.2,0.15,0.25,0,0
Chatonbo,0.46360844373703003,0.505,0.44,0.2,0.4,0.67,0.5499999999999999,0,0
Clavisage,0.3435550034046173,0.6384,0.44,0.2,0.2,0.62,0.5499999999999999,0,0
TargetPulse,0.3700624406337738,0.5975,0.44,0.2,0.30000000000000004,0.47,0.5499999999999999,0,0
BudgetWise,0.4221309721469879,0.5509,0.56,0.2,0.4,0.62,0.5499999999999999,0,0
TrueChroma - Your AI Stylist,0.35015517473220825,0.6268,0.2,0.2,0.2,0.73,0.5499999999999999,0,0
TRI/TFM — Prompt Optimization Engine,0.4121630787849426,0.5506,0.56,0.2,0.2,0.41,0.5499999999999999,0,0
RankViral,0.2226443737745285,0.7506,0.2,0.2,0.2,0.2,0.5499999999999999,0,0
MathHub,0.35134294629096985,0.6072,0.32,0.44,0.30000000000000004,0.35,0.4,0,0
Placehold.us,0.32584935426712036,0.6467,0.32,0.2,0.2,0.41,0.4,0,0
CueRatedFlow ,0.3561360239982605,0.631,0.2,0.2,0.2,0.2,0.5499999999999999,0,0
ConciliA,0.4376968443393707,0.5227,0.44,0.32,0.4,0.35,0.5499999999999999,0,0
Upceive,0.4366859495639801,0.5408,0.44,0.2,0.30000000000000004,0.7,0.5499999999999999,0,0
Mapaan,0.4532790780067444,0.5272,0.32,0.2,0.30000000000000004,0.6100000000000001,0.5499999999999999,0,0
Winnow,0.35186225175857544,0.6261,0.44,0.2,0.30000000000000004,0.7,0.7,0,0
UMA by Soft Sprint,0.3754814565181732,0.6074,0.32,0.2,0.30000000000000004,0.74,0.5499999999999999,0,0
EstateFlow Dashboard UI,0.41615453362464905,0.5511,0.44,0.2,0.4,0.53,0.5499999999999999,0,0
Wyoop,0.3028600811958313,0.6661,0.2,0.2,0.2,0.41,0.25,0,0
VastWebTool,0.47834935784339905,0.4738,0.2,0.2,0.2,0.35,0.4,0,0
Checkpoint,0.41634806990623474,0.5668,0.44,0.2,0.2,0.41,0.7,0,0
EvvyTools,0.47529464960098267,0.4667,0.44,0.2,0.2,0.47,0.5499999999999999,0,0
UNC,0.2762545645236969,0.7055,0.32,0.2,0.2,0.7,0.7,0,0
FastSiteCheck,0.4209892153739929,0.5496,0.32,0.2,0.2,0.47,0.4,0,0
Aetherist,0.48150473833084106,0.4652,0.56,0.2,0.30000000000000004,0.35,0.5499999999999999,0,0
TradeCalc — All In One Trades Calculator,0.3192923367023468,0.6529,0.2,0.2,0.2,0.41,0.25,0,0
VisaAlbum,0.33706265687942505,0.6429,0.44,0.2,0.30000000000000004,0.76,0.5499999999999999,0,0
UK Salary Calculator,0.25382664799690247,0.6895,0.2,0.2,0.2,0.7,0.5499999999999999,0,0
Guided Massage,0.2674809396266937,0.7141,0.32,0.2,0.2,0.41,0.4,0,0
NewsIntel,0.40755143761634827,0.5669,0.32,0.2,0.2,0.38,0.5499999999999999,0,0
Where To Launch,0.36442241072654724,0.6088,0.44,0.2,0.30000000000000004,0.06,0.5499999999999999,0,0
sovansca,0.27938610315322876,0.6819,0.2,0.2,0.30000000000000004,0.41,0.4,0,0
4thSpace — Find your people in person,0.3377719223499298,0.6473,0.2,0.2,0.30000000000000004,0.76,0.5499999999999999,0,0
Lazy Guard — Security Scanner for WebDev,0.3857795000076294,0.5954,0.32,0.2,0.30000000000000004,0.15,0.5499999999999999,0,0
TypeMaster – Type Run & Letter,0.35143357515335083,0.6301,0.32,0.32,0.30000000000000004,0.6799999999999999,0.7,0,0
VUI Zero-dependency UI components,0.2608509063720703,0.7214,0.2,0.2,0.2,0.41,0.5499999999999999,0,0
Squad,0.44771724939346313,0.5283,0.44,0.32,0.4,0.5,0.5499999999999999,0,0
LSB SEO Company,0.37688058614730835,0.5911,0.2,0.32,0.4,0.5,0.4,0,0
BookBrew,0.33004480600357056,0.6376,0.2,0.2,0.2,0.36,0.25,0,0
TripMate AI,0.45141300559043884,0.5238,0.2,0.2,0.2,0.56,0.25,0,0
Crypto Token Development,0.3805414140224457,0.5963,0.6799999999999999,0.2,0.30000000000000004,0.62,0.5499999999999999,0,0
BroChat,0.479023277759552,0.4831,0.32,0.44,0.30000000000000004,0.56,0.25,0,0
Borderlog: Visa & Tax Tracker ,0.27855902910232544,0.6888,0.32,0.2,0.2,0.82,0.5499999999999999,0,0
Champions Round Fitness,0.4405505657196045,0.52,0.56,0.2,0.2,0.74,0.5499999999999999,0,0
Submit AI Tool,0.4599909782409668,0.52,0.32,0.2,0.4,0.35,0.5499999999999999,0,0
CalculatorInvest,0.3368668854236603,0.6214,0.32,0.2,0.2,0.7,0.5499999999999999,0,0
SamZ Games,0.3784666657447815,0.5885,0.2,0.2,0.2,0.56,0.5499999999999999,0,0
OrangeRefine,0.36105287075042725,0.6153,0.32,0.32,0.30000000000000004,0.76,0.4,0,0
Specra,0.37153375148773193,0.6163,0.32,0.2,0.2,0.74,0.5499999999999999,0,0
DriveLedger-Vehicle Logbook,0.3763510286808014,0.607,0.44,0.2,0.30000000000000004,0.62,0.5499999999999999,0,0
QRCode.co-Free Instant QR Code Generator,0.39574334025382996,0.5635,0.44,0.2,0.30000000000000004,0.56,0.7,0,0
GeoArt,0.32608240842819214,0.6592,0.32,0.2,0.2,0.41,0.5499999999999999,0,0
INKS- pdf generator,0.34167689085006714,0.6186,0.2,0.32,0.2,0.6100000000000001,0.5499999999999999,0,0
Help Me! SOS Emergency App,0.3397238850593567,0.6422,0.2,0.2,0.2,0.5,0.5499999999999999,0,0
Neuro Timer,0.3804756999015808,0.5866,0.44,0.2,0.2,0.56,0.5499999999999999,0,0
 Office 2024 Pro Plus – Promo Special,0.3376142978668213,0.6307,0.2,0.2,0.4,0.76,0.25,0,0
MyGPScamera,0.38105088472366333,0.5837,0.2,0.2,0.2,0.5,0.5499999999999999,0,0
Random Luck Club,0.3328269124031067,0.6453,0.2,0.2,0.2,0.35,0.5499999999999999,0,0
boterview,0.47093111276626587,0.5035,0.32,0.2,0.2,0.41,0.4,0,0
Amazon Rufus Agent,0.31399282813072205,0.6714,0.32,0.2,0.2,0.41,0.5499999999999999,0,0
Reaady.site,0.44893282651901245,0.5318,0.2,0.2,0.2,0.32,0.4,0,0
ClawDaddy,0.48502421379089355,0.449,0.32,0.2,0.2,0.6100000000000001,0.4,0,0
$ABSURD,0.22456085681915283,0.7437,0.44,0.2,0.2,0.3,0.5499999999999999,0,0
RedditSentiments,0.34803491830825806,0.6164,0.32,0.2,0.2,0.5,0.4,0,0
How Turmeric Fights Cancer in Every Cell,0.1577933430671692,0.817,0.32,0.2,0.2,0.5,0.25,0,0
Medimate247,0.3371129631996155,0.6482,0.44,0.2,0.5,0.8799999999999999,0.4,0,0
Brand Reviews,0.37744277715682983,0.5912,0.2,0.2,0.2,0.6100000000000001,0.4,0,0
AI  mock interview system Boilerplate,0.4682018756866455,0.5167,0.56,0.2,0.30000000000000004,0.82,0.5499999999999999,0,0
WonderFox DVD Video Converter,0.36698684096336365,0.5839,0.44,0.2,0.4,0.5,0.5499999999999999,0,0
Rauno,0.4008784294128418,0.577,0.32,0.2,0.2,0.2,0.25,0,0
AgenticKode,0.5865758657455444,0.3855,0.44,0.2,0.2,0.42,0.7,0,0
Nano Banana 2,0.42848291993141174,0.5389,0.32,0.2,0.2,0.76,0.4,0,0
PixAssets,0.39770814776420593,0.5839,0.32,0.2,0.2,0.41,0.5499999999999999,0,0
Krira Augment,0.3844110071659088,0.5896,0.56,0.32,0.30000000000000004,0.76,0.5499999999999999,0,0
Make A Money With Amazon Kdp ,0.35383495688438416,0.6273,0.2,0.2,0.2,0.6799999999999999,0.5499999999999999,0,0
T3Links,0.2990676462650299,0.6796,0.2,0.2,0.2,0.35,0.5499999999999999,0,0
Frenix Labs,0.28835582733154297,0.6948,0.32,0.2,0.2,0.0,0.25,0,0
Admin Copilot,0.4046057164669037,0.5809,0.56,0.32,0.2,0.53,0.5499999999999999,0,0
Marco,0.3666675388813019,0.6031,0.44,0.2,0.30000000000000004,0.15,0.5499999999999999,0,0
Electric vs Gas vehicle,0.283529132604599,0.6804,0.2,0.2,0.2,0.56,0.5499999999999999,0,0
VPN Server Hub,0.28706735372543335,0.6794,0.32,0.2,0.5,0.6100000000000001,0.5499999999999999,0,0
Lume Free Email Tools,0.4056404232978821,0.5643,0.44,0.2,0.30000000000000004,0.41,0.5499999999999999,0,0
Video Text Remover,0.36959460377693176,0.6145,0.32,0.32,0.2,0.35,0.5499999999999999,0,0
AgentLabs,0.5728292465209961,0.397,0.44,0.32,0.6000000000000001,0.7,0.5499999999999999,0,0
Dine and Design,0.4404512345790863,0.5026,0.44,0.2,0.2,0.41,0.5499999999999999,0,0
SportBuns — Find Your Sports Partner,0.3042735457420349,0.6743,0.32,0.2,0.2,0.41,0.5499999999999999,0,0
AnimeQuiz,0.3175756633281708,0.6653,0.2,0.2,0.2,0.2,0.7,0,0
Lumifilm,0.3757621645927429,0.5974,0.2,0.2,0.2,0.15,0.25,0,0
"Pianissimo: Piano learning, reimagined",0.3524491786956787,0.6214,0.2,0.2,0.2,0.5,0.5499999999999999,0,0
Pantsir,0.3055261969566345,0.6769,0.2,0.2,0.4,0.62,0.4,0,0
app icon generator tools,0.3880534768104553,0.5839,0.44,0.2,0.2,0.41,0.5499999999999999,0,0
Homunculator,0.24171042442321777,0.7373,0.32,0.2,0.2,0.35,0.5499999999999999,0,0
SEONIB,0.5058661699295044,0.4746,0.2,0.2,0.30000000000000004,0.41,0.4,0,0
LocateMyCity,0.32363227009773254,0.6303,0.32,0.2,0.2,0.56,0.5499999999999999,0,0
Vigilant Medical Group LTD. CO,0.31336361169815063,0.6526,0.32,0.2,0.5,0.54,0.25,0,0
GymMetrics,0.36992114782333374,0.5861,0.32,0.2,0.30000000000000004,0.35,0.25,0,0
QuickQuote,0.39207854866981506,0.5405,0.32,0.2,0.2,0.53,0.4,0,0
Rangna,0.27711954712867737,0.7097,0.2,0.2,0.2,0.41,0.5499999999999999,0,0
Connected Banking | AOPAY,0.4129183292388916,0.5568,0.44,0.2,0.5,0.6799999999999999,0.5499999999999999,0,0
VoosHUB,0.2748667895793915,0.7124,0.2,0.32,0.30000000000000004,0.41,0.7,0,0
 Magnetic Buckle Apple Watch Band ,0.2469993531703949,0.7276,0.2,0.2,0.2,0.5,0.25,0,0
MapleBridge.io,0.30956658720970154,0.6596,0.44,0.2,0.30000000000000004,0.7,0.5499999999999999,0,0
Mesh Banners Printing,0.24019484221935272,0.7359,0.2,0.2,0.2,0.35,0.5499999999999999,0,0
Nordic Executive List,0.22783000767230988,0.7538,0.32,0.2,0.2,0.55,0.4,0,0
Cat Solitaire,0.29626911878585815,0.6596,0.2,0.32,0.2,0.76,0.5499999999999999,0,0
FREED,0.1838655322790146,0.7968,0.44,0.2,0.30000000000000004,0.15,0.5499999999999999,0,0
reflectu.in,0.2976747155189514,0.6848,0.2,0.2,0.2,0.15,0.25,0,0
Z Image Turbo,0.41695117950439453,0.5526,0.32,0.2,0.5,0.5,0.5499999999999999,0,0
